card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,1,6011-8078-0209-7732,10/25,3100.0,699.7100007629394,2023-04-06
2,1,2,5365-7018-2694-5142,06/26,8100.0,817.2500134277343,2022-05-15
3,2,1,6519-8630-7952-2311,12/27,4000.0,1376.6499981689453,2024-05-30
4,2,2,6444-6297-3028-0561,02/27,8400.0,1821.790003051758,2023-02-24
5,2,4,5580-7075-9923-6579,03/28,40200.0,4120.92,2023-05-06
6,3,3,5391-1136-3516-5306,11/25,14200.0,1636.0700048828126,2024-05-27
7,3,4,6440-0211-7528-6780,08/26,38700.0,1197.0700195312502,2022-11-04
8,4,1,4274-4845-5798-3124,09/27,4600.0,461.68999267578124,2024-05-09
9,5,3,5430-5636-5410-3150,11/27,17900.0,6504.179985351563,2023-09-06
10,5,4,5400-2220-9953-5149,03/27,30800.0,2034.5899707031251,2022-04-28
11,6,2,5336-4283-2905-9802,06/28,5900.0,626.0099987792969,2025-01-30
12,6,1,6011-5892-8351-6210,07/25,1600.0,-157.02999694824223,2023-09-25
13,6,4,5498-2935-2800-6126,06/28,46300.0,1255.970009765625,2024-04-15
14,7,5,5336-2449-1449-8375,01/28,99300.0,3505.259921875,2023-11-20
15,7,4,3797-7733-8597-5449,04/28,48200.0,2285.2599853515626,2023-03-31
16,7,1,5492-9781-2065-0734,05/27,2500.0,283.81999893188475,2024-10-19
17,8,4,5123-9595-6028-7179,01/28,30500.0,2695.509956054688,2023-05-22
18,8,5,4324-6392-8481-2262,04/27,89200.0,1213.9600006103515,2024-03-23
19,8,1,5300-7800-6872-7594,01/26,2500.0,1992.2100015258789,2025-01-14
20,9,5,6531-8041-0472-3742,12/25,51900.0,2277.4399658203124,2024-10-14
21,9,3,3482-3324-5649-8167,06/27,23400.0,4885.3999609375,2024-09-11
22,10,3,3423-6923-2456-4807,07/27,11400.0,718.8000024414063,2023-10-01
23,10,5,3789-8900-7617-3020,09/27,63600.0,1766.5499990844726,2023-12-10
24,10,1,5189-5073-9930-5363,04/26,2900.0,2097.3900048828127,2022-09-05
25,11,1,6568-3843-9782-1060,09/26,1400.0,500.16000061035163,2022-11-01
26,12,2,5526-8858-8017-6932,02/27,7600.0,1487.83999961853,2024-02-27
27,13,4,5335-2825-9817-7978,12/25,28700.0,5586.940029296875,2023-12-06
28,13,5,5174-0961-5566-1880,10/26,83200.0,11183.60001953125,2023-02-06
29,14,1,6011-6823-4037-5917,03/27,4200.0,438.37000244140626,2023-09-19
30,15,1,5154-3362-7408-0931,10/26,1500.0,511.20000167846683,2023-09-02
31,15,2,3408-4724-3358-1443,12/26,8500.0,930.0599987792968,2023-02-24
32,16,3,4541-0852-2522-0412,05/27,14500.0,1597.2499877929688,2024-10-17
33,16,4,3499-4178-6788-0024,02/26,44600.0,1777.8199890136718,2023-05-17
34,16,2,6577-2979-5885-6137,04/26,5800.0,782.2499932861328,2023-07-08
35,17,3,5162-5593-4203-4232,04/26,10700.0,1284.179989013672,2024-02-08
36,18,3,3705-2044-3850-3577,12/25,22100.0,4980.269975585938,2022-07-27
37,19,2,5229-8407-6117-1105,12/26,8000.0,4875.859996948242,2023-09-28
38,20,1,6446-8680-2407-2556,01/27,1900.0,983.1600012207032,2024-07-28
39,21,4,6011-1027-8049-9347,11/27,47900.0,2176.1199462890627,2024-09-02
40,21,5,3733-9898-8374-0343,09/27,80800.0,3795.970024414062,2023-09-06
41,22,2,6011-4835-8192-9553,11/27,8400.0,1240.0699975585937,2024-01-31
42,22,3,5299-4079-3536-3573,01/27,17800.0,2313.60999633789,2024-08-03
43,22,1,4958-5368-4345-8017,12/26,3700.0,9.630003051757797,2024-05-17
44,23,2,5175-6371-0203-0067,12/26,8600.0,1755.74,2024-02-11
45,24,5,3417-4845-3958-5131,10/25,67400.0,-70.12000106811519,2022-08-08
46,24,4,5493-4698-4330-5061,05/26,46900.0,1583.1800683593751,2023-08-17
47,24,2,5548-1042-7969-7460,06/27,5200.0,1608.469989013672,2023-07-09
48,25,3,5162-6071-3560-0286,01/26,14800.0,1190.0199951171874,2022-08-14
49,25,5,6502-7865-5551-0702,01/28,52000.0,4228.79005859375,2023-06-25
50,26,2,5405-0895-0665-1501,06/27,7900.0,1946.8900006103518,2022-07-12
51,26,4,4047-3216-2124-3916,03/26,34200.0,1915.3900292968751,2022-12-16
52,27,3,3485-7313-4601-8890,11/27,20000.0,924.5500146484375,2025-02-12
53,27,5,5250-4926-7617-6278,06/26,60800.0,2437.6701171875,2024-08-28
54,27,4,5234-5766-1219-3597,04/27,36400.0,788.5499951171874,2024-10-16
55,28,1,5378-0926-8315-3292,10/26,5000.0,749.5199945068359,2023-05-25
56,28,3,5198-2666-9178-4126,04/26,17700.0,843.1000146484375,2023-04-02
57,29,4,6578-2472-3472-0491,05/27,34100.0,953.0699804687499,2023-12-22
58,29,5,4682-6314-3973-7122,05/28,90000.0,4822.690053710938,2023-12-30
59,29,1,5226-8608-3076-4661,11/25,3800.0,442.3999995422363,2024-09-10
60,30,3,6523-7160-9669-3928,04/26,17400.0,6932.349999999999,2023-04-06
